Name,Image
HALLAB SALADS,https://demo8.1hour.in/media/productsCategory/Hallab_Salads-removebg-preview.png
OVEN BAKED SWEETS,https://demo8.1hour.in/media/productsCategory/OVEN_BAKED_SWEETS-removebg-preview.png
LEBANESE SWEETS WITH NUTS,https://demo8.1hour.in/media/productsCategory/Leb_Sweets-removebg-preview.png
HALLAB BREAKFAST,https://demo8.1hour.in/media/productsCategory/Screenshot_2025-04-02_125530-removebg-preview.png
SIDES,https://demo8.1hour.in/media/productsCategory/SIDES-removebg-preview.png
MOUAJANET,https://demo8.1hour.in/media/productsCategory/MOUAJANET_2-removebg-preview.png
FROM THE OVEN,https://demo8.1hour.in/media/productsCategory/Screenshot_2025-04-02_122006-removebg-preview.png
PLATTER,https://demo8.1hour.in/media/productsCategory/PLATTER_2-removebg-preview.png
FROM THE GRILL,https://demo8.1hour.in/media/productsCategory/MIX_PLATE-removebg-preview.png
HOT SANDWICHES,https://demo8.1hour.in/media/productsCategory/HOT_SANDWICHES-removebg-preview.png
SALADS,https://demo8.1hour.in/media/productsCategory/Fattoush_Salad.jpeg
HOT MEZZA,https://demo8.1hour.in/media/productsCategory/HOT_MEZZA-removebg-preview.png
COLD MEZZA,https://demo8.1hour.in/media/productsCategory/baba-ghanoush-recipe-removebg-preview.png
testing,https://demo8.1hour.in/media/productsCategory/SIP_CAFE_STORE_IMAGE_NEW_sfxbhcv_c2FuQle.jpg
CB Dessert,https://demo8.1hour.in/media/productsCategory/walnut_brownies-removebg-preview.png
CB Cold Beverages,https://demo8.1hour.in/media/productsCategory/Peached_Iced_Tea-removebg-preview.png
Chop Bar- Hot Beverages,https://demo8.1hour.in/media/productsCategory/hot_beverages-removebg-preview.png
Indian Cuisine,https://demo8.1hour.in/media/productsCategory/CHICKEN_BIRYANI.jpeg
CB Starters,https://demo8.1hour.in/media/productsCategory/samosa-removebg-preview.png
Rotisserie Chicken,https://demo8.1hour.in/media/productsCategory/ROTISSIRIE_CHICKEN-removebg-preview_q1KXecd.png
FB Bowls,https://demo8.1hour.in/media/productsCategory/Hummus_Crunch_Salad1.png
FB Beverages,https://demo8.1hour.in/media/productsCategory/Screenshot_2025-01-21_180707-removebg-preview.png
FB Delight,https://demo8.1hour.in/media/productsCategory/Hot_Honey_Chicken1.png
Fat Bowls,https://demo8.1hour.in/media/productsCategory/Cali_Bowl1.png
Add-Ons,https://demo8.1hour.in/media/productsCategory/set-sauces-bowls-ketchup-mayonnaise-mustard-soy-sauce_253362-10378-removebg-preview.png
Ghanaian Cuisine,https://demo8.1hour.in/media/productsCategory/Banku_and_tilapia-removebg-preview.png
Lebanese Cuisine 2,https://demo8.1hour.in/media/productsCategory/SPECIALITY_PLATTERS_2_BOhwKx9.png
Burger.,https://demo8.1hour.in/media/productsCategory/Burger-removebg-preview_SFzZMst.png
Smokin Grills,https://demo8.1hour.in/media/productsCategory/Chicken_wings-removebg-preview_1.png
Drinks//Beverages,https://demo8.1hour.in/media/productsCategory/fragello_cocktail_juice.jpeg
Melts,https://demo8.1hour.in/media/productsCategory/melts.png
Veg Pizza,https://demo8.1hour.in/media/productsCategory/veg-delight9572.png
Chicken Pizza,https://demo8.1hour.in/media/productsCategory/chicken_supreme.png
Frozen,https://demo8.1hour.in/media/productsCategory/Meat_And_Seafood_final_Final_hKHpb3R.jpg
TBD,https://demo8.1hour.in/media/productsCategory/trash-recycling-bin-waste-container-icon-metal-trash-can-removebg-preview.png
Melts,https://demo8.1hour.in/media/productsCategory/Melts-removebg-preview.png
Sides & Desserts,https://demo8.1hour.in/media/productsCategory/Chocolate_twists-removebg-preview.png
Drinks,https://demo8.1hour.in/media/productsCategory/Sprite-removebg-preview.png
RICE,https://demo8.1hour.in/media/productsCategory/Jollof_rice-removebg-preview.png
Appetizers,https://demo8.1hour.in/media/productsCategory/Cheesy_Fries-removebg-preview.png
Meat Pizza,https://demo8.1hour.in/media/productsCategory/Pizza_Category-removebg-preview.png
Sandwich,https://demo8.1hour.in/media/productsCategory/SANDWICHES_2.png
Salad,https://demo8.1hour.in/media/productsCategory/SALADS_2.png
EXTRAS,https://demo8.1hour.in/media/productsCategory/300x300_H2wO81m_EqqiSKu_HdEmQg9.JPG
Starbucks,https://demo8.1hour.in/media/productsCategory/STARBUCKS_B_2.png
Fresh Juices,https://demo8.1hour.in/media/productsCategory/FRESH_JUICES.png
Half-Bites,https://demo8.1hour.in/media/productsCategory/HALF-BITES_2.png
Croissants & Breads,https://demo8.1hour.in/media/productsCategory/CROISSANTS__BREADS_2.png
PASTRIES,https://demo8.1hour.in/media/productsCategory/PASTRIES_2.png
Pastas,https://demo8.1hour.in/media/productsCategory/PASTA_2.png
Hut Deals,https://demo8.1hour.in/media/productsCategory/Pizza_Hut_logo.svg_Dj3DJ9s.png
Smoothies,https://demo8.1hour.in/media/productsCategory/SMOOTHIE_2.png
Soft Drinks,https://demo8.1hour.in/media/productsCategory/SOFT_DRINKS_2.png
Wines,https://demo8.1hour.in/media/productsCategory/WINES_2.png
Beers,https://demo8.1hour.in/media/productsCategory/BEERS_2.png
Water,https://demo8.1hour.in/media/productsCategory/WATER_2_Rng5FgC.png
Fresh Coolers,https://demo8.1hour.in/media/productsCategory/REFRESHING_COOLERS_2.png
Iced Coffees,https://demo8.1hour.in/media/productsCategory/ICED_COFFEES_2.png
Iced Teas,https://demo8.1hour.in/media/productsCategory/ICED_TEAS_2.png
Hot Teas,https://demo8.1hour.in/media/productsCategory/HOT_TEAS.png
Sushi Rice Items,https://demo8.1hour.in/media/productsCategory/SUSHI_RICE_ITEMS_2.png
Teppanyaki Hot Plate,https://demo8.1hour.in/media/productsCategory/TEPPANYAKI_HOT_PLATE_2.png
Poke,https://demo8.1hour.in/media/productsCategory/POKE_2.png
Ceviche,https://demo8.1hour.in/media/productsCategory/CEVICHE_2.png
Tartare,https://demo8.1hour.in/media/productsCategory/TARTARE_B_2.png
"Salads, Bites & Starters",https://demo8.1hour.in/media/productsCategory/SALADS_BITES__STARTERS_2.png
Speciality Platters,https://demo8.1hour.in/media/productsCategory/SPECIALITY_PLATTERS_2.png
SIGNATURE SUSHI,https://demo8.1hour.in/media/productsCategory/MELCOM_PIC_c8InExJ.JPG
MAKI ROLLS,https://demo8.1hour.in/media/productsCategory/MELCOM_PIC_PtGb9rq.JPG
TEMAKI,https://demo8.1hour.in/media/productsCategory/MELCOM_PIC_GHyNdtG.JPG
ASSORTED CALIFORNIA ROLLS,https://demo8.1hour.in/media/productsCategory/MELCOM_PIC_0mvMPDk.JPG
SASHIMI,https://demo8.1hour.in/media/productsCategory/MELCOM_PIC_5B4ssHd.JPG
Nigiri,https://demo8.1hour.in/media/productsCategory/NIGIRI_2.png
Spring Rolls,https://demo8.1hour.in/media/productsCategory/SPRING_ROLLS_B_2.png
Indian Cuisine,https://demo8.1hour.in/media/productsCategory/INDIAN_CUISINE_A_2.png
Wraps,https://demo8.1hour.in/media/productsCategory/WRAPS_B_2.png
Sandwiches,https://demo8.1hour.in/media/productsCategory/SANDWICHES_A_2.png
Smokin' Grills,https://demo8.1hour.in/media/productsCategory/SMOKING_GRILLS_A_2.png
Fries & Nuggets,https://demo8.1hour.in/media/productsCategory/FRIES__NUGGETS_B_2.png
Lebanese Cuisine,https://demo8.1hour.in/media/productsCategory/LEBENESE_CUISINE_B_2.png
Chick-A-Licious,https://demo8.1hour.in/media/productsCategory/MINI_PIE_A_2.png
Spring Rolls,https://demo8.1hour.in/media/productsCategory/Spring_rolls-removebg-preview.png
Add-Ons,https://demo8.1hour.in/media/productsCategory/ADD-ONS_A_2.png
Rice Bowls,https://demo8.1hour.in/media/productsCategory/RICE_BOWLS_B_2.png
Tex Mex Cuisine,https://demo8.1hour.in/media/productsCategory/TEX_MEX_CUISINE_2.png
Ghanaian Cuisine (old),https://demo8.1hour.in/media/productsCategory/GHANAIAN_CUISINE_B_2.png
Hot Coffees,https://demo8.1hour.in/media/productsCategory/300x300_H2wO81m_EqqiSKu.JPG
Indian Thali,https://demo8.1hour.in/media/productsCategory/THE_GREATEST_INDIAN_THALI_3_2.png
Desserts,https://demo8.1hour.in/media/productsCategory/DESSERTS_1.png
Street Food,https://demo8.1hour.in/media/productsCategory/STREET_FOOD_2.png
Raita,https://demo8.1hour.in/media/productsCategory/RAITA_2.png
BREAD,https://demo8.1hour.in/media/productsCategory/BREAD_2.png
Basmati,https://demo8.1hour.in/media/productsCategory/KHAZANA_E_BASMATI_2.png
Lentils (Dal),https://demo8.1hour.in/media/productsCategory/LENTILS_DELICACIES_2.png
Main (N-Veg),https://demo8.1hour.in/media/productsCategory/MAIN_COURSE_NON_VEG_2.png
N-Veg Appetizers,https://demo8.1hour.in/media/productsCategory/NON_VEG_APP_B_2.png
Indian Beverages,https://demo8.1hour.in/media/productsCategory/BEVERAGES_2.png
Main (Veg),https://demo8.1hour.in/media/productsCategory/MAIN_COURSE_VEG_2.png
Indian Delicacies,https://demo8.1hour.in/media/productsCategory/INDIAN_DELICACIES__2.png
Indian Salads,https://demo8.1hour.in/media/productsCategory/INDIAN_SALAD_2.png
Veg Appetizers,https://demo8.1hour.in/media/productsCategory/VEG_APP_B_2.png
Platters,https://demo8.1hour.in/media/productsCategory/PLATTER_A_2_1.png
Burgers,https://demo8.1hour.in/media/productsCategory/BURGER_2.png
Italian Pastas,https://demo8.1hour.in/media/productsCategory/ITALIAN_PASTA_A_2.png
Noodles,https://demo8.1hour.in/media/productsCategory/NOODLES_2.png
Breakfast,https://demo8.1hour.in/media/productsCategory/BREAKFAST_2.png
Salads,https://demo8.1hour.in/media/productsCategory/SALADS_B_2.png
HOT COFFEES,https://demo8.1hour.in/media/productsCategory/HOT_COFFEES_2.png
biryani,https://demo8.1hour.in/media/productsCategory/istockphoto-biryani.jpg
Burger,https://demo8.1hour.in/media/productsCategory/Burger-removebg-preview.png
Ice Creams,https://demo8.1hour.in/media/productsCategory/Ice_Cream_EQme19Y.jpg
Meat & Seafood,https://demo8.1hour.in/media/productsCategory/Meat_Sea_Food__Alternative_pqPiF4X.png
Fruits & Veg,https://demo8.1hour.in/media/productsCategory/Fruit__Vegs_sVt7dpx.jpg
A,https://demo8.1hour.in/media/productsCategory/IMG_5219.JPG
Pet Care,https://demo8.1hour.in/media/productsCategory/Pet_Essentials_F18v4J8.JPG
Souks & Condiments,https://demo8.1hour.in/media/productsCategory/Oil__Sauces_MSM8i7P_6cfIEML.jpg
Personal Care,https://demo8.1hour.in/media/productsCategory/Personal_Care_final_Final.jpg
Bakery,https://demo8.1hour.in/media/productsCategory/BAKERY_1K_IrCRz2Z.png
"Dairy, Deli & Egg",https://demo8.1hour.in/media/productsCategory/Diary_Deli__Eggs_Final_Final_Df4DlSY.jpg
Baby Care,https://demo8.1hour.in/media/productsCategory/Baby_Product_MaGA96F_sefLcjd.jpg
B,https://demo8.1hour.in/media/productsCategory/Fresh_Foods.jpg
Alcohol,https://demo8.1hour.in/media/productsCategory/Alcohol_AaHDOnN.jpg
Household,https://demo8.1hour.in/media/productsCategory/HouseHold_Final_Final.jpg
Snacks,https://demo8.1hour.in/media/productsCategory/Snacks_ZGuyxiB_2fEbNK2.jpg
Beverages,https://demo8.1hour.in/media/productsCategory/Beverages_final_ODIv5BB.PNG
Food Cupboard,https://demo8.1hour.in/media/productsCategory/Food_Cupboard_Final_Final_bcbApz0.jpg
