SKU,Product Name,Category,Sub-Category,Type,Price,Short Description (Clean),Status,Image
178523,Pot Noodle Fusion Thai Green Curry 117g,Food Cupboard,Noodles & Pasta,GROCERY,53.99,"Product Type:Instant Noodles
Product Net Weight:117g
Product Unit:1 unit",Active,https://demo8.1hour.in/media/products/178523.png
156547,Tampax Pearl Super,Personal Care,Feminine Care,GROCERY,154.99,"Product Type:Tampons (Super Absorbency)

Product Unit:Single Box or Pack",Active,https://demo8.1hour.in/media/products/156547.png
178497,King Pot Noodle Original Curry 114g,Food Cupboard,Noodles & Pasta,GROCERY,53.99,"Product Type:Instant Noodles
Product Net Weight:114g
Product Unit:1Pot",Active,https://demo8.1hour.in/media/products/178497.png
178496,King Pot Noodle Chicken  Mushroom 114g,Food Cupboard,Noodles & Pasta,GROCERY,53.99,"Product Type:Instant Noodles
Product Net Weight:114g
Product Unit:1Pot",Active,https://demo8.1hour.in/media/products/178496.png
178495,King Pot Noodle Bombay Bad Boy 114g,Food Cupboard,Noodles & Pasta,GROCERY,53.99,"Product Type:Instant Noodles
Product Net Weight:114g
Product Unit:1 unit",Active,https://demo8.1hour.in/media/products/178495.png
18371,Princes Ham Round 200g,Food Cupboard,Cans & Jars,GROCERY,71.99,"Product Type:Processed Meat (Ham)
Product Net Weight:200g
Product Unit:1Pack",Active,https://demo8.1hour.in/media/products/18371.png
149342,Papilion Conditioner Cucumber & Argan Oil 400ml,Personal Care,Hair Care,GROCERY,37.99,"Product Type:Hair Conditioner

Product Net Weight:400ml

Product Unit:Single Bottle",Active,https://demo8.1hour.in/media/products/149342.png
179089,Clipper Universal Fluid 100ml,Household,Disposables,GROCERY,53.99,"Product Type:Lighter Fluid
Product Unit:1 unit",Active,https://demo8.1hour.in/media/products/179089.png
178931,Jordans Frusli Wild Berries Cereal Bar,Snacks,Bars & Wafers,GROCERY,61.99,"Product Type:Cereal Bar
Product Unit: 1Bar",Active,https://demo8.1hour.in/media/products/178931.png
147840,Cadbury Chocolate Sponge Mix 400g,Food Cupboard,Baking Essentials,GROCERY,114.99,"Product Type:Cake Mix (Chocolate Sponge)
Product Net Weight:400g
Product Unit:1 Pack",Active,https://demo8.1hour.in/media/products/147840.png
178767,Loreal Elnett Normal Hairspray 75ml,Personal Care,Hair Care,GROCERY,149.99,"Product Type:Hairspray
Product Net Weight: 75ml
Product Unit:1 unit",Active,https://demo8.1hour.in/media/products/178767.png
178764,Loreal Elnett Normal Hairspray 200ml,Personal Care,Hair Care,GROCERY,209.99,"Product Type:Hairspray
Product Net Weight:200ml
Product Unit:1 unit",Active,https://demo8.1hour.in/media/products/178764.png
147110,Loreal Deo Men Fresh Extreme 250ml,Personal Care,Deodorant & Body Sprays,GROCERY,189.99,"Product Type:Men&#39;s Deodorant

Product Net Weight:250ml

Product Unit:Single Bottle",Active,https://demo8.1hour.in/media/products/147110.png
143149,Walkers Wotsits Cheese 22.5g,Snacks,Chips & Crisps,GROCERY,22.99,"Product Type:Cheese-flavored Corn Puffs

Product Net Weight:225g

Product Unit:Single Pack",Active,https://demo8.1hour.in/media/products/143149.png
178757,Schwartz Creamy Mild Peppercorn Sauce Mix 25g,Souks & Condiments,Sauces,GROCERY,31.99,"Product Type:Sauce Mix
Product Net Weight:25g
Product Unit:1 Sachet",Active,https://demo8.1hour.in/media/products/178757.png
178751,Whitworths Desiccated Coconut 200g,Food Cupboard,Baking Essentials,GROCERY,87.99,"Product Type:Desiccated Coconut
Product Net Weight:200g
Product Unit:1 Pack",Active,https://demo8.1hour.in/media/products/178751.png
140417,Paxo Sage Onion Stuffing 340g,Food Cupboard,Herbs & Seasonings,GROCERY,89.99,"Product Type:Stuffing Mix
Product Net Weight:340g
Product Unit:1 Pack",Active,https://demo8.1hour.in/media/products/140417.png
140278,Betty Crocker Rainbow Cookie Mix 495g,Food Cupboard,Baking Essentials,GROCERY,134.99,"Product Type:Cookie Mix
Product Net Weight:495g
Product Unit:1 Pack",Active,https://demo8.1hour.in/media/products/140278.png
178608,Tena Lights Long Liners 20pieces,Personal Care,Feminine Care,GROCERY,93.99,"Product Type:Incontinence Liners
Product Unit:20 Liners",Active,https://demo8.1hour.in/media/products/178608.png
178578,Tilda Steamed Basmati Brown  Quinoa Rice 250g,Food Cupboard,Rice & Grains,GROCERY,64.99,"Product Type:Pre-cooked Rice &amp; Quinoa Blend
Product Net Weight:250g
Product Unit: 1Pouch",Active,https://demo8.1hour.in/media/products/178578.png
140250,Baxters Sliced Beetroot 340g,Food Cupboard,Cans & Jars,GROCERY,54.99,"Product Type:Sliced Beetroot
Product Net Weight:340g
Product Unit:1 Jar",Active,https://demo8.1hour.in/media/products/140250.png
178522,Pot Noodle Fusion Katsu Curry 100g,Food Cupboard,Noodles & Pasta,GROCERY,53.99,"Product Type:Instant Noodles
Product Net Weight:100g
Product Unit: 1unit",Active,https://demo8.1hour.in/media/products/178522.png
178435,Itsu Satay Rice Noodle Spring Onion Cup 64g,Food Cupboard,Noodles & Pasta,GROCERY,58.99,"Product Type:Instant Noodles/Cup Noodles
Product Net Weight:64g
Product Unit:1Cup",Active,https://demo8.1hour.in/media/products/178435.png
178434,Itsu Katsu Rice Noodle Cup 63g,Food Cupboard,Noodles & Pasta,GROCERY,58.99,"Product Type:Instant Noodle Cup
Product Net Weight:63g
Product Unit:1Cup",Active,https://demo8.1hour.in/media/products/178434.png
181148,Gp Lettuce Pack,Fruits & Veg,Fresh Vegetables,GROCERY,9.99,"Product Type:Fresh Produce
Product Unit:1Pack",Active,https://demo8.1hour.in/media/products/181148.png
180247,Bo16 Styling Gel Black 150g,Personal Care,Hair Care,GROCERY,11.99,"Product Type:Hair Styling Gel
Product Net Weight:150g
Product Unit:1 unit",Active,https://demo8.1hour.in/media/products/180247.png
140248,Felix Fish Selection Chunks in jelly 100g,Pet Care,Pet Food,GROCERY,209.99,"Product Type:Wet Cat Food (Fish Selection)

Product Net Weight:100g

Product Unit:Single Pack",Active,https://demo8.1hour.in/media/products/140248.png
140243,Felix Kitten Mixed Select 100g,Pet Care,Pet Food,GROCERY,209.99,"Product Type:Wet Cat Food (Kitten)

Product Net Weight:100g

Product Unit:Single Pack",Active,https://demo8.1hour.in/media/products/140243.png
180125,Cow  Gate Follow on Milk From 6 Months 200ml,Pet Care,Pet Food,GROCERY,159.99,"Product Type:Follow-on Milk
Product Net Weight:200ml
Product Unit:Multipack (6 cartons)",Active,https://demo8.1hour.in/media/products/180125.png
140182,Adventuros Sticks Buffalo 120g,Pet Care,Pet Food,GROCERY,47.99,"Product Type: Dog Treats (Chew Sticks)

Product Net Weight:120g

Product Unit:Single Pack",Active,https://demo8.1hour.in/media/products/140182.png
140179,Adventuros Nuggets Boar 90g,Pet Care,Pet Food,GROCERY,47.99,"Product Type:Dog Treats

Product Net Weight:90g

Product Unit:Single Pack",Active,https://demo8.1hour.in/media/products/140179.png
179106,Naturo Adult Duck Rice  Vegetable 400g,Pet Care,Pet Food,GROCERY,49.99,"Product Type:Wet Dog Food
Product Net Weight:400g
Product Unit:1 unit",Active,https://demo8.1hour.in/media/products/179106.png
179103,Felix Agail Senior Fish Selection In Jelly 100g,Pet Care,Pet Food,GROCERY,209.99,"Product Type:Wet Cat Food
Product Net Weight:100g
Product Unit:1 unit",Active,https://demo8.1hour.in/media/products/179103.png
179096,Quaker Oat So Simple Protein Pot Peanut Butter 58g,Food Cupboard,Oats & Custard,GROCERY,34.99,"Product Type:Instant Oatmeal
Product Net Weight:58g
Product Unit:1Pot",Active,https://demo8.1hour.in/media/products/179096.png
130766,Spinneys Dry Mint 20g,Food Cupboard,Herbs & Seasonings,GROCERY,19.99,"Product Type:Dried Herb
Product Net Weight:20g
Product Unit:1 Pack",Active,https://demo8.1hour.in/media/products/130766.png
178765,Loreal Elnett Extra Hold Hairspray 200ml,Personal Care,Hair Care,GROCERY,209.99,"Product Type:Hairspray
Product Net Weight:200ml
Product Unit:1Can",Active,https://demo8.1hour.in/media/products/178765.png
126545,Beef Rosto ±500g,Meat & Seafood,Fresh Meat,GROCERY,56.99,"Product Type:Meat

Product Net Weight:±500g

Product Unit:Single Pack",Active,https://demo8.1hour.in/media/products/126545.png
178762,Impulse Body Fragrance Be Surprised 75ml,Personal Care,Deodorant & Body Sprays,GROCERY,114.99,"Product Type:Body Fragrance/Spray
Product Net Weight:75ml
Product Unit: 1Bottle",Active,https://demo8.1hour.in/media/products/178762.png
178590,Tilda Steamed Lime Coriander Basmati Rice 250g,Food Cupboard,Rice & Grains,GROCERY,54.99,"Product Type:Pre-cooked Rice
Product Net Weight:250g
Product Unit:1Pouch",Active,https://demo8.1hour.in/media/products/178590.png
178525,Schwartz Bay Leaves Box 3g,Food Cupboard,Herbs & Seasonings,GROCERY,44.99,"Product Type:Dried Herb
Product Net Weight:3g
Product Unit:1 unit",Active,https://demo8.1hour.in/media/products/178525.png
178521,Pot Noodle Fusion Chilli Chicken 100g,Food Cupboard,Noodles & Pasta,GROCERY,53.99,"Product Type:Instant Noodles
Product Net Weight:100g
Product Unit:1 Pot",Active,https://demo8.1hour.in/media/products/178521.png
178512,Kolee Cup Noodles Beef  Onion 65g,Food Cupboard,Noodles & Pasta,GROCERY,36.99,"Product Type:Instant Noodles
Product Net Weight:65g
Product Unit:1Cup",Active,https://demo8.1hour.in/media/products/178512.png
68862,Kelloggs Special K Red Berries 300g,Food Cupboard,Cereal & Porridge,GROCERY,119.99,"Product Type:Breakfast Cereal
Product Net Weight:300g
Product Unit:1Box",Active,https://demo8.1hour.in/media/products/68862.png
111309,Label 5 Scotch Whisky Gold Heritage 750ml,Alcohol,Whisky,GROCERY,599.99,"Product Type:Blended Scotch Whisky

Product Net Weight:750ml

Product Unit:Single Bottle",Active,https://demo8.1hour.in/media/products/111309.png
179105,Purina Gourmet Mon Petit Intense Duck Chick 50g,Pet Care,Pet Food,GROCERY,89.99,"Product Type:Wet Cat Food
Product Net Weight:6 x 50g
Product Unit:Multipack",Active,https://demo8.1hour.in/media/products/179105.png
103505,Impulse Body Spray Very Pink 75ml,Personal Care,Deodorant & Body Sprays,GROCERY,114.99,"Product Type:Body Spray

Product Net Weight:75ml

Product Unit:Single Bottle",Active,https://demo8.1hour.in/media/products/103505.png
103504,Impulse Body Spray True Love 75ml,Personal Care,Deodorant & Body Sprays,GROCERY,114.99,"Product Type:Body Spray

Product Net Weight:75ml

Product Unit:Single Bottle",Active,https://demo8.1hour.in/media/products/103504.png
103503,Impulse Body Spray Tease 75ml,Personal Care,Deodorant & Body Sprays,GROCERY,114.99,"Product Type:Body Spray

Product Net Weight:75ml

Product Unit:Single Bottle",Active,https://demo8.1hour.in/media/products/103503.png
103501,Impulse Body Spray Musk 75ml,Personal Care,Deodorant & Body Sprays,GROCERY,114.99,"Product Type:Body Spray

Product Net Weight:75ml

Product Unit:Single Bottle",Active,https://demo8.1hour.in/media/products/103501.png
99666,Style Up Roll On Sport 50ml,Personal Care,Deodorant & Body Sprays,GROCERY,9.99,"Product Type:Deodorant Roll-On

Product Net Weight:50ml

Product Unit:Single Bottle",Active,https://demo8.1hour.in/media/products/99666.png
